"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS"
"00000000000001","jhipster","config/liquibase/changelog/00000000000000_initial_schema.xml","2019-02-15T20:14:34.533","1","EXECUTED","7:ebe72721281cfcd0d48031547593a0e4","createTable tableName=jhi_user; createTable tableName=jhi_authority; createTable tableName=jhi_user_authority; addPrimaryKey tableName=jhi_user_authority; addForeignKeyConstraint baseTableName=jhi_user_authority, constraintName=fk_authority_name, refer...","","","3.5.4","()","","0236474418"
"00000000000002","jhipster","config/liquibase/changelog/00000000000000_initial_schema.xml","2019-02-15T20:14:34.554","2","EXECUTED","7:93e3a09dd8d4e15ae9ad4a3c483133e0","createTable tableName=jhi_date_time_wrapper",,"","3.5.4","test","","0236474418"
